iter	Passed	Remaining
0	148	148328
1	154	77310
2	161	53617
3	167	41650
4	173	34443
5	178	29629
6	184	26197
7	190	23629
8	196	21649
9	202	20030
10	208	18753
11	214	17667
12	220	16737
13	226	15952
14	232	15242
15	237	14635
16	243	14093
17	249	13608
18	255	13185
19	261	12792
20	266	12446
21	273	12159
22	279	11858
23	284	11583
24	290	11314
25	295	11073
26	301	10852
27	307	10663
28	313	10488
29	318	10309
30	324	10149
31	330	9998
32	336	9857
33	341	9716
34	347	9586
35	353	9461
36	359	9358
37	365	9250
38	371	9151
39	377	9055
40	382	8953
41	388	8861
42	394	8778
43	400	8694
44	405	8611
45	411	8534
46	417	8458
47	422	8388
48	429	8326
49	434	8259
50	440	8199
51	446	8137
52	451	8076
53	458	8023
54	463	7968
55	469	7914
56	475	7864
57	481	7818
58	487	7768
59	492	7718
60	498	7673
61	504	7626
62	510	7587
63	515	7545
64	522	7509
65	528	7477
66	534	7439
67	540	7405
68	546	7374
69	552	7346
70	559	7318
71	565	7289
72	571	7262
73	578	7233
74	584	7204
75	590	7180
76	597	7157
77	603	7131
78	609	7105
79	616	7086
80	622	7059
81	628	7035
82	634	7008
83	640	6984
84	646	6959
85	652	6933
86	658	6910
87	664	6888
88	670	6861
89	676	6835
90	681	6809
91	687	6783
92	692	6756
93	698	6731
94	703	6704
95	709	6682
96	715	6659
97	720	6634
98	725	6606
99	731	6582
100	736	6558
101	741	6532
102	747	6506
103	752	6483
104	757	6459
105	763	6436
106	768	6412
107	773	6389
108	778	6365
109	784	6343
110	789	6323
111	794	6299
112	799	6279
113	805	6257
114	810	6236
115	815	6215
116	820	6194
117	826	6174
118	831	6155
119	836	6135
120	841	6114
121	846	6095
122	852	6077
123	857	6061
124	863	6046
125	868	6027
126	874	6011
127	880	5995
128	885	5978
129	891	5965
130	896	5948
131	902	5932
132	907	5917
133	913	5902
134	918	5885
135	923	5869
136	929	5853
137	934	5839
138	940	5823
139	945	5808
140	951	5794
141	956	5780
142	961	5764
143	967	5753
144	973	5738
145	978	5722
146	983	5707
147	988	5692
148	994	5679
149	999	5665
150	1005	5652
151	1011	5641
152	1016	5628
153	1022	5617
154	1027	5604
155	1033	5591
156	1038	5578
157	1044	5566
158	1049	5553
159	1056	5545
160	1061	5532
161	1066	5518
162	1072	5507
163	1078	5495
164	1083	5484
165	1089	5472
166	1094	5459
167	1099	5446
168	1105	5434
169	1110	5421
170	1115	5410
171	1121	5398
172	1126	5384
173	1131	5371
174	1135	5353
175	1140	5341
176	1146	5329
177	1151	5317
178	1156	5305
179	1162	5293
180	1167	5281
181	1172	5269
182	1177	5258
183	1183	5246
184	1188	5235
185	1193	5222
186	1198	5210
187	1202	5192
188	1207	5181
189	1213	5171
190	1218	5161
191	1224	5151
192	1229	5139
193	1234	5127
194	1239	5117
195	1244	5106
196	1249	5095
197	1255	5084
198	1260	5073
199	1265	5061
200	1270	5050
201	1276	5041
202	1281	5032
203	1287	5022
204	1292	5013
205	1298	5003
206	1303	4993
207	1308	4982
