iter	RMSE
0	0.3606718671
1	0.3532105811
2	0.346849691
3	0.3413605992
4	0.3361129175
5	0.3314446011
6	0.327640874
7	0.3248465895
8	0.3224180643
9	0.3198411642
10	0.3174847649
11	0.3155726521
12	0.3139802685
13	0.312345996
14	0.3109344956
15	0.3100987978
16	0.3089186734
17	0.3079950439
18	0.3071631297
19	0.3061969312
20	0.3053385954
21	0.3045756165
22	0.3040411782
23	0.303576743
24	0.3029951289
25	0.302526763
26	0.3019457426
27	0.3011733104
28	0.300671424
29	0.3001712044
30	0.2997713614
31	0.299258343
32	0.2989152622
33	0.2984189088
34	0.2979468941
35	0.2977167614
36	0.2974702492
37	0.2970444882
38	0.2967726877
39	0.2963603437
40	0.2961019864
41	0.2957250252
42	0.2953284479
43	0.2949455013
44	0.294757105
45	0.2946097271
46	0.2943167542
47	0.294021959
48	0.2938104969
49	0.2935946608
50	0.2932330485
51	0.2929283511
52	0.2927240217
53	0.2925179649
54	0.2924246411
55	0.2920523555
56	0.2918605305
57	0.291621358
58	0.2913611083
59	0.2911531787
60	0.2909325022
61	0.2908091987
62	0.2906679317
63	0.2905309911
64	0.2905203533
65	0.2901924974
66	0.289868692
67	0.289753811
68	0.2895926506
69	0.2895120735
70	0.2893161878
71	0.2891067079
72	0.2889814072
73	0.2887384168
74	0.28857536
75	0.2884195581
76	0.288264614
77	0.2881152985
78	0.2879309263
79	0.2877181612
80	0.2876366979
81	0.2873982823
82	0.2871403121
83	0.2869697043
84	0.286645885
85	0.2864921665
86	0.2864387605
87	0.2862072052
88	0.2860662582
89	0.2859493672
90	0.2857348263
91	0.2855119627
92	0.2853929731
93	0.2852554626
94	0.2851575662
95	0.2849789639
96	0.2849716367
97	0.2848452177
98	0.2847925332
99	0.2846444255
100	0.2844247479
101	0.2842312107
102	0.2839984927
103	0.2837356714
104	0.2835697656
105	0.2833576262
106	0.2832001933
107	0.2830610256
108	0.2829096981
109	0.2826328016
110	0.2825534924
111	0.2823708677
112	0.2823347155
113	0.2821947671
114	0.2820996675
115	0.2818629927
116	0.281747597
117	0.2816731847
118	0.2815154025
119	0.2812494292
120	0.2809674208
121	0.2808494104
122	0.2806855834
123	0.2805459621
124	0.2803833939
125	0.280193817
126	0.2799658657
127	0.2798109692
128	0.2796000265
129	0.2793816782
130	0.2793206792
131	0.2791272076
132	0.2789618507
133	0.2788383627
134	0.2786993879
135	0.2786055554
136	0.2785366554
137	0.2783488857
138	0.2782409953
139	0.2782130121
140	0.2781048956
141	0.2779760684
142	0.2778487259
143	0.2778252375
144	0.2776284538
145	0.2775802081
146	0.2773669197
147	0.277271092
148	0.2771194105
149	0.276977205
150	0.2769303909
151	0.2767845923
152	0.2766444094
153	0.2764703154
154	0.2763551613
155	0.2761755243
156	0.2760645656
157	0.2759320684
158	0.2758158053
159	0.2756811228
160	0.2756258584
161	0.2755608052
162	0.2753626124
163	0.2751637319
164	0.275048374
165	0.274943286
166	0.2748235473
167	0.2746557125
168	0.2744973279
169	0.27437185
170	0.2741885255
171	0.2741760169
172	0.274070587
173	0.2740166255
174	0.2739529895
175	0.2738525836
176	0.2737126138
177	0.2735631096
178	0.2735522296
179	0.2734249784
180	0.2732445197
181	0.2732156691
182	0.2731289003
183	0.2730423432
184	0.2729943067
185	0.2728241019
186	0.2727147365
187	0.272595634
188	0.2724675857
189	0.272457975
190	0.272410948
191	0.2723420903
192	0.2722632235
193	0.2720884836
194	0.2719680348
195	0.2718407487
196	0.2717214138
197	0.2716813441
198	0.2716555637
199	0.2716273402
200	0.2715243225
201	0.2714218612
202	0.2713324406
203	0.2712220259
204	0.2711641015
205	0.2711294218
206	0.2709765767
207	0.2708151071
208	0.2707811195
209	0.2707276015
210	0.2705683494
211	0.2705439403
212	0.2704502959
213	0.2704294818
214	0.2702367129
215	0.2701307141
216	0.2700522011
217	0.2699612068
218	0.2698532785
219	0.2697506106
220	0.269678851
221	0.2696053455
222	0.2695059721
223	0.2693983112
224	0.2693780069
225	0.2692838593
226	0.2691153999
227	0.2690885953
228	0.2690639813
229	0.2689134759
230	0.2688854911
231	0.268787542
232	0.2687412704
233	0.2686374256
234	0.2685657196
235	0.2685225229
236	0.2684423554
237	0.2683378514
238	0.2682244712
239	0.2681548736
240	0.2680921563
241	0.268073634
242	0.2679563549
243	0.2679183688
244	0.267868239
245	0.2678044588
246	0.26777349
247	0.2675968286
248	0.2675417891
249	0.2674553792
250	0.2673472306
251	0.2672713261
252	0.2671890458
253	0.267093156
254	0.2670223768
255	0.2669091203
256	0.2667308058
257	0.2666369409
258	0.2665914471
259	0.2665849574
260	0.2664824933
261	0.2664544008
262	0.2664164287
263	0.2662621164
264	0.266245388
265	0.2661286417
266	0.2660279067
267	0.2659370279
268	0.2659040923
269	0.2658177236
270	0.2657734858
271	0.2657592163
272	0.265610263
273	0.2655506661
274	0.2654914677
275	0.2654860776
276	0.2653912881
277	0.2652277677
278	0.2651390521
279	0.2650378221
280	0.2649976812
281	0.2649142407
282	0.2648247837
283	0.2647489342
284	0.2647186437
285	0.2646271862
286	0.2644143287
287	0.2642395162
288	0.264115642
289	0.2640376147
290	0.2639926529
291	0.263893884
292	0.2638484675
293	0.2637667602
294	0.2637422796
295	0.2636338317
296	0.2635489536
297	0.2634532121
298	0.2633846114
299	0.2633187554
300	0.2632871688
301	0.263273603
302	0.2632264686
303	0.2631614264
304	0.2631320981
305	0.2630920518
306	0.2630380473
307	0.2630201337
308	0.2629814918
309	0.2629055372
310	0.2628162694
311	0.2627482575
312	0.2627234913
313	0.2626411673
314	0.2624994014
315	0.2624566628
