iter	Passed	Remaining
0	1	1222
1	2	1346
2	3	1265
3	4	1229
4	6	1205
5	7	1174
6	8	1142
7	9	1152
8	10	1137
9	11	1132
10	12	1129
11	13	1139
12	15	1150
13	16	1151
14	17	1149
15	18	1139
16	19	1141
17	20	1135
18	21	1129
19	23	1130
20	24	1122
21	25	1117
22	26	1108
23	27	1106
24	28	1102
25	29	1112
26	30	1114
27	32	1111
28	33	1106
29	34	1101
30	35	1099
31	36	1095
32	37	1096
33	38	1093
34	39	1088
35	40	1087
36	41	1083
37	42	1080
38	43	1076
39	44	1075
40	45	1073
41	46	1070
42	48	1071
43	49	1066
44	50	1062
45	51	1060
46	52	1056
47	53	1056
48	54	1053
49	55	1053
50	56	1048
51	57	1044
52	58	1040
53	59	1038
54	60	1035
55	61	1035
56	62	1031
57	63	1029
58	64	1025
59	65	1021
60	66	1017
61	67	1013
62	67	1008
63	68	1004
64	69	993
65	69	988
66	70	985
67	71	983
68	72	980
69	73	977
70	74	974
71	75	970
72	76	968
73	77	966
74	78	963
75	79	961
76	79	957
77	80	954
78	81	951
79	82	948
80	83	945
81	84	944
82	85	942
83	86	940
84	87	940
85	88	938
86	89	936
87	90	933
88	91	932
89	92	930
90	93	929
91	94	928
92	95	926
93	95	925
94	96	923
95	97	921
96	98	915
97	99	912
98	99	909
99	100	907
100	101	904
101	102	906
102	103	904
103	104	902
104	105	899
105	106	896
106	107	894
107	107	891
108	108	890
109	109	888
110	110	885
111	111	883
112	112	881
113	113	880
114	114	878
115	115	876
116	116	876
117	117	875
118	118	875
119	119	873
120	120	872
121	120	870
122	121	868
123	122	867
124	123	865
125	124	865
126	125	863
127	126	862
128	127	860
129	128	859
130	129	858
131	130	856
132	131	854
133	132	853
134	133	852
135	134	851
136	134	850
137	135	848
138	136	847
139	137	845
140	138	843
141	139	841
142	140	840
143	141	838
144	142	837
145	142	835
146	143	834
147	144	831
148	145	830
149	146	828
150	147	827
151	148	825
152	148	824
153	149	822
154	150	821
155	151	820
156	152	818
157	153	816
158	154	815
159	155	814
160	155	812
161	156	811
162	157	809
163	158	808
164	159	807
165	160	805
166	161	803
167	161	802
168	162	800
169	163	799
170	164	798
171	165	796
172	166	795
173	167	794
174	168	792
175	168	791
176	169	789
177	170	787
178	171	786
179	172	784
180	173	783
181	173	781
182	174	779
183	175	777
184	176	776
185	177	774
186	177	773
187	178	771
188	179	770
189	180	769
190	181	767
191	182	765
192	182	764
193	183	762
194	184	760
195	185	759
196	185	757
197	186	756
198	187	754
199	188	753
200	189	753
201	190	752
202	191	750
203	192	749
204	192	747
205	193	746
206	194	744
207	195	743
208	196	742
209	197	741
210	198	740
211	198	738
212	199	737
213	200	736
214	201	734
215	202	733
216	202	732
217	203	731
218	204	729
219	205	728
220	206	727
221	207	725
222	208	725
223	208	723
224	209	722
225	210	720
226	211	719
227	212	718
228	212	717
229	213	715
230	214	713
231	215	712
232	215	710
233	216	709
234	217	709
235	218	708
236	219	707
237	220	706
238	221	704
239	222	703
240	223	702
241	223	701
242	224	700
243	225	698
244	226	697
245	227	695
246	227	694
247	228	693
248	229	692
249	230	690
250	231	689
251	231	688
252	233	688
253	233	686
254	234	686
255	235	685
256	236	684
257	237	683
258	238	681
259	239	680
260	239	679
261	240	677
262	241	676
263	242	674
264	242	673
265	243	672
266	244	671
267	245	670
268	246	668
269	246	667
270	247	666
271	248	665
272	249	663
273	250	662
274	250	661
275	251	660
276	252	659
277	253	657
278	254	656
279	254	655
280	255	653
281	256	652
282	257	651
283	258	650
284	258	649
285	259	648
286	260	646
287	261	645
288	261	644
289	262	643
290	263	642
291	264	641
292	265	640
293	266	639
294	267	638
295	268	637
296	269	637
297	269	635
298	270	635
299	271	633
300	272	632
301	273	631
302	274	630
303	274	629
304	275	628
305	276	627
306	277	626
307	278	625
308	279	624
309	279	623
310	280	622
311	281	621
312	282	620
313	283	619
314	284	618
315	285	616
316	285	615
317	286	614
318	287	613
319	288	612
320	289	611
321	290	611
322	291	610
323	292	609
324	292	608
325	293	607
326	294	606
327	295	605
328	296	604
329	296	602
330	297	601
331	298	600
332	299	599
333	300	598
334	300	597
335	301	596
336	302	594
337	303	593
338	304	592
339	304	591
340	305	590
341	306	589
342	307	588
343	308	587
344	308	586
345	309	585
346	310	584
347	311	583
348	312	582
349	313	581
350	313	580
351	314	578
352	315	577
353	316	576
354	316	575
355	317	574
356	318	573
357	319	573
358	320	572
359	321	571
360	322	570
361	323	569
362	324	568
363	325	567
364	325	566
365	326	565
366	327	564
367	328	564
368	329	563
369	330	562
370	331	561
371	331	560
372	332	559
373	333	558
374	334	557
375	335	556
376	336	555
377	337	554
378	338	554
379	338	553
380	339	551
381	340	550
382	341	550
383	342	549
384	343	548
385	343	547
386	344	546
387	345	545
388	346	544
389	347	543
390	348	542
391	349	541
392	350	540
393	351	539
394	351	538
395	352	537
396	353	537
397	354	536
398	355	535
399	356	534
400	357	533
401	357	532
402	358	531
403	359	530
404	360	529
405	361	528
406	362	527
407	362	526
408	363	525
409	364	525
410	365	524
411	366	523
412	367	522
413	368	521
414	369	520
415	370	519
416	371	518
417	372	518
418	372	517
419	373	516
420	374	515
421	375	514
422	376	513
423	377	513
424	378	512
425	379	511
426	380	510
427	381	509
428	381	508
429	382	507
430	383	506
431	384	505
432	385	504
433	385	503
434	386	502
435	387	501
436	388	500
437	389	499
438	390	498
439	391	497
440	391	496
441	392	495
442	393	494
443	394	494
444	395	493
445	396	492
446	397	491
447	398	491
448	399	489
449	400	489
450	400	488
451	401	487
452	402	486
453	403	485
454	404	484
455	405	483
456	406	483
457	407	482
458	408	481
459	409	480
460	410	479
461	411	478
462	411	477
463	412	476
464	413	475
465	414	474
466	415	474
467	416	473
468	417	472
469	417	471
470	418	470
471	419	469
472	420	468
473	421	467
474	422	466
475	423	465
476	423	464
477	424	463
478	425	462
479	426	461
480	427	460
481	427	459
482	428	459
483	429	458
484	430	457
485	431	456
486	432	455
487	432	454
488	433	453
489	434	452
490	435	451
491	436	450
492	437	449
493	437	448
494	438	447
495	439	446
496	440	445
497	441	444
498	441	443
